"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","0-14 years","0-14",5829,4634660,125.77
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","15-19 years","15-19",79900,1471027,5431.58
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","20-24 years","20-24",66080,1374005,4809.30
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","25-29 years","25-29",20777,1334939,1556.40
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","30-34 years","30-34",7236,1389612,520.72
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","35-39 years","35-39",3287,1502493,218.77
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","40+ years","40+",2148,6770728,31.72
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Female","F","Unknown","99",625,Not Applicable,Not Applicable
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","0-14 years","0-14",618,4783380,12.92
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","15-19 years","15-19",15492,1505446,1029.06
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","20-24 years","20-24",20035,1304105,1536.30
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","25-29 years","25-29",9362,1209455,774.07
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","30-34 years","30-34",4624,1247104,370.78
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","35-39 years","35-39",2506,1331081,188.27
,"Chlamydia","274","2000","2000","Black or African American","2054-5","Male","M","40+ years","40+",2286,5347510,42.75
